date,product,category,price,quantity,stock
2026-01-29,텀블러,굿즈,15000,7,379
2026-03-04,크루아상,베이커리,3800,58,71
2026-01-27,에코백,굿즈,12000,174,379
2026-01-23,콜롬비아원두,원두,18000,152,216
2026-01-08,아메리카노,음료,4500,24,111
2026-05-10,바닐라라떼,음료,5500,155,13
2026-02-20,콜롬비아원두,원두,18000,184,332
2026-05-20,에코백,굿즈,12000,108,112
2026-05-31,치아바타,베이커리,4200,72,414
2026-02-10,아메리카노,음료,4500,179,216
2026-03-13,스콘,베이커리,3500,40,110
2026-01-27,스콘,베이커리,3500,24,194
2026-04-02,카페라떼,음료,5000,89,309
2026-01-12,크루아상,베이커리,3800,187,235
2026-02-01,콜롬비아원두,원두,18000,97,40
2026-03-17,콜롬비아원두,원두,18000,161,316
2026-05-28,스콘,베이커리,3500,50,360
2026-01-12,카페라떼,음료,5000,170,116
2026-01-21,크루아상,베이커리,3800,60,443
2026-04-08,카페라떼,음료,5000,72,232
2026-04-04,텀블러,굿즈,15000,42,
2026-02-23,스콘,베이커리,3500,172,136
2026-06-24,에코백,굿즈,12000,166,36
2026-06-12,에티오피아원두,원두,21000,44,273
2026-03-04,에코백,굿즈,12000,42,236
2026-03-11,마들렌,베이커리,2800,164,352
2026-02-26,콜롬비아원두,원두,18000,176,166
2026-02-28,아메리카노,음료,4500,9,412
2026-04-13,스콘,베이커리,3500,69,33
2026-05-26,바닐라라떼,음료,5500,184,161
2026-06-17,바닐라라떼,음료,5500,128,202
2026-04-28,텀블러,굿즈,15000,37,
2026-03-05,카푸치노,음료,5200,191,287
2026-03-09,콜롬비아원두,원두,18000,192,299
2026-05-30,마들렌,베이커리,2800,103,185
2026-02-05,바닐라라떼,음료,5500,131,252
2026-01-13,카페라떼,음료,5000,29,78
2026-02-10,텀블러,굿즈,15000,175,216
2026-01-17,에티오피아원두,원두,21000,99,195
2026-04-30,에티오피아원두,원두,21000,136,128
2026-01-03,콜롬비아원두,원두,18000,175,369
2026-06-24,카페라떼,음료,5000,138,384
2026-06-14,크루아상,베이커리,3800,88,57
2026-04-22,크루아상,베이커리,3800,41,
2026-03-09,아메리카노,음료,4500,129,390
2026-05-10,카푸치노,음료,5200,28,445
2026-03-18,텀블러,굿즈,15000,164,259
2026-02-20,에티오피아원두,원두,21000,40,191
2026-05-19,카푸치노,음료,5200,200,472
2026-01-01,콜롬비아원두,원두,18000,154,165
2026-01-05,치아바타,베이커리,4200,29,475
2026-03-20,스콘,베이커리,3500,62,29
2026-05-26,바닐라라떼,음료,5500,21,
2026-05-05,에코백,굿즈,12000,18,500
2026-02-02,콜롬비아원두,원두,18000,33,337
2026-05-21,치아바타,베이커리,4200,43,135
2026-06-05,콜롬비아원두,원두,18000,109,493
2026-05-19,바닐라라떼,음료,5500,194,373
2026-02-21,에코백,굿즈,12000,183,159
2026-06-21,마들렌,베이커리,2800,167,191
2026-05-13,치아바타,베이커리,4200,116,61
2026-02-27,바닐라라떼,음료,5500,17,173
2026-05-31,아메리카노,음료,4500,142,117
2026-02-26,에티오피아원두,원두,21000,2,36
2026-06-11,에코백,굿즈,12000,16,117
2026-01-09,카페라떼,음료,5000,85,36
2026-03-02,콜롬비아원두,원두,18000,72,342
2026-02-24,치아바타,베이커리,4200,139,67
2026-05-27,에코백,굿즈,12000,148,242
2026-05-02,바닐라라떼,음료,5500,105,97
2026-01-25,카페라떼,음료,5000,169,220
2026-04-19,스콘,베이커리,3500,106,239
2026-01-14,에코백,굿즈,12000,173,334
2026-01-26,텀블러,굿즈,15000,16,206
2026-03-28,에코백,굿즈,12000,28,127
2026-02-18,바닐라라떼,음료,5500,138,229
2026-04-19,카푸치노,음료,5200,47,142
2026-03-05,치아바타,,4200,20,226
2026-01-26,콜롬비아원두,원두,18000,13,333
2026-01-04,콜롬비아원두,원두,18000,24,474
2026-02-12,바닐라라떼,음료,5500,105,248
2026-02-24,치아바타,베이커리,4200,103,462
2026-02-12,아메리카노,음료,4500,98,1
2026-03-09,마들렌,베이커리,2800,117,146
2026-06-28,마들렌,베이커리,2800,188,401
2026-06-19,콜롬비아원두,원두,18000,184,249
2026-02-18,카푸치노,음료,5200,76,111
2026-05-29,아메리카노,음료,4500,189,277
2026-03-22,아메리카노,음료,4500,15,
2026-05-03,에티오피아원두,원두,21000,129,470
2026-02-10,콜롬비아원두,원두,18000,15,491
2026-01-21,콜롬비아원두,원두,18000,48,35
2026-01-18,에티오피아원두,원두,21000,173,441
2026-04-14,바닐라라떼,음료,5500,31,482
2026-03-05,에티오피아원두,원두,21000,149,304
2026-06-08,아메리카노,음료,4500,21,214
2026-05-30,텀블러,,15000,145,267
2026-03-08,스콘,베이커리,3500,53,342
2026-03-22,에코백,굿즈,12000,62,135
2026-02-03,마들렌,베이커리,2800,172,330
2026-04-28,크루아상,베이커리,3800,81,475
2026-01-03,카페라떼,음료,5000,118,318
2026-01-26,에티오피아원두,원두,21000,19,275
2026-05-10,바닐라라떼,음료,5500,68,67
2026-01-18,스콘,베이커리,3500,63,189
2026-02-10,크루아상,베이커리,3800,113,426
2026-06-30,콜롬비아원두,원두,18000,78,313
2026-05-16,텀블러,굿즈,15000,3,341
2026-03-18,콜롬비아원두,원두,18000,170,53
2026-03-09,카푸치노,음료,5200,30,455
2026-05-22,카페라떼,음료,5000,40,139
2026-06-04,크루아상,베이커리,3800,54,367
2026-02-22,스콘,베이커리,3500,176,324
2026-05-10,크루아상,베이커리,3800,126,128
2026-01-24,아메리카노,음료,4500,163,216
2026-01-12,크루아상,베이커리,3800,1,170
2026-06-13,카푸치노,음료,5200,68,82
2026-04-24,에코백,굿즈,12000,142,361
2026-05-24,마들렌,베이커리,2800,3,57
2026-06-26,카페라떼,음료,5000,39,279
2026-04-05,아메리카노,음료,4500,150,282
2026-04-21,카푸치노,음료,5200,33,21
2026-04-04,크루아상,베이커리,3800,11,460
2026-02-23,스콘,베이커리,3500,175,127
2026-01-27,텀블러,굿즈,15000,91,399
2026-04-15,콜롬비아원두,원두,18000,159,383
2026-03-02,카푸치노,음료,5200,42,
2026-04-16,카푸치노,음료,5200,7,91
2026-03-27,에코백,굿즈,12000,106,410
2026-03-05,텀블러,굿즈,15000,69,81
2026-01-28,에코백,굿즈,12000,98,446
2026-05-01,아메리카노,음료,4500,57,102
2026-03-31,치아바타,베이커리,4200,79,420
2026-02-27,바닐라라떼,음료,5500,7,337
2026-04-13,바닐라라떼,음료,5500,85,142
2026-03-13,카페라떼,음료,5000,90,328
2026-04-13,콜롬비아원두,원두,18000,174,431
2026-03-26,콜롬비아원두,원두,18000,8,59
2026-02-15,크루아상,베이커리,3800,149,492
2026-01-10,크루아상,베이커리,3800,28,305
2026-03-30,마들렌,베이커리,2800,187,402
2026-04-22,스콘,베이커리,3500,156,261
2026-04-09,카페라떼,음료,5000,148,97
2026-01-12,크루아상,베이커리,3800,182,223
2026-05-14,아메리카노,음료,4500,138,351
2026-06-21,에코백,굿즈,12000,51,186
2026-01-18,마들렌,베이커리,2800,171,471
2026-06-09,스콘,베이커리,3500,81,339
2026-03-18,카페라떼,음료,5000,130,158
2026-04-15,텀블러,굿즈,15000,84,206
2026-03-17,에코백,굿즈,12000,142,65
2026-04-18,바닐라라떼,음료,5500,171,481
2026-06-23,마들렌,베이커리,2800,192,462
2026-06-07,카푸치노,음료,5200,146,154
2026-05-21,마들렌,베이커리,2800,1,155
2026-02-23,크루아상,베이커리,3800,111,402
2026-06-05,에티오피아원두,원두,21000,168,164
2026-04-24,치아바타,베이커리,4200,114,345
2026-05-11,바닐라라떼,음료,5500,122,406
2026-02-13,에코백,굿즈,12000,169,43
2026-05-12,크루아상,베이커리,3800,170,324
2026-03-27,에티오피아원두,원두,21000,24,419
2026-06-22,바닐라라떼,음료,5500,80,115
2026-02-07,바닐라라떼,음료,5500,7,23
2026-05-02,바닐라라떼,,5500,157,435
2026-04-27,카페라떼,음료,5000,107,453
2026-05-28,텀블러,굿즈,15000,50,367
2026-04-09,에코백,굿즈,12000,127,204
2026-02-07,바닐라라떼,음료,5500,168,352
2026-01-28,아메리카노,음료,4500,200,217
2026-02-15,바닐라라떼,음료,5500,179,265
2026-01-13,치아바타,베이커리,4200,143,127
2026-04-27,카페라떼,음료,5000,35,410
2026-06-20,치아바타,베이커리,4200,136,286
2026-03-23,에티오피아원두,원두,21000,194,456
2026-06-06,치아바타,베이커리,4200,185,
2026-04-20,콜롬비아원두,원두,18000,141,228
2026-05-02,카푸치노,음료,5200,116,132
2026-06-13,바닐라라떼,음료,5500,71,392
2026-05-05,콜롬비아원두,원두,18000,161,122
2026-04-23,크루아상,베이커리,3800,20,365
2026-03-02,크루아상,베이커리,3800,70,171
2026-05-19,스콘,베이커리,3500,21,70
2026-03-01,카푸치노,음료,5200,99,355
2026-06-30,카푸치노,음료,5200,55,32
2026-04-15,마들렌,베이커리,2800,85,277
2026-04-17,치아바타,베이커리,4200,16,105
2026-04-10,마들렌,베이커리,2800,198,299
2026-01-06,에코백,굿즈,12000,196,294
2026-05-03,마들렌,베이커리,2800,2,482
2026-03-18,스콘,베이커리,3500,193,199
2026-05-18,마들렌,베이커리,2800,192,376
2026-06-04,콜롬비아원두,원두,18000,57,249
2026-03-11,바닐라라떼,음료,5500,112,248
2026-04-10,아메리카노,음료,4500,87,342
2026-04-14,텀블러,굿즈,15000,186,84
2026-02-02,치아바타,베이커리,4200,160,273
2026-04-11,아메리카노,음료,4500,152,288
2026-01-07,텀블러,굿즈,15000,22,329
2026-02-04,마들렌,베이커리,-4500,119,93
2026-03-08,아메리카노,음료,4500,98,167
2026-04-27,바닐라라떼,음료,5500,84,172
2026-03-13,마들렌,베이커리,2800,193,487
2026-03-06,마들렌,베이커리,2800,21,240
2026-05-19,아메리카노,음료,4500,14,487
2026-02-27,스콘,베이커리,3500,167,35
2026-01-11,텀블러,굿즈,15000,194,15
2026-02-21,바닐라라떼,음료,5500,6,318
2026-03-03,카푸치노,음료,5200,33,242
2026-01-30,텀블러,굿즈,15000,145,485
2026-04-30,바닐라라떼,음료,5500,180,131
2026-02-12,스콘,베이커리,3500,156,310
2026-01-30,에코백,굿즈,12000,200,419
2026-03-21,카푸치노,음료,5200,28,296
2026-03-21,아메리카노,음료,4500,148,346
2026-04-12,마들렌,베이커리,2800,184,101
2026-06-01,카페라떼,음료,5000,177,425
2026-03-04,텀블러,굿즈,15000,27,356
2026-06-25,크루아상,베이커리,3800,154,412
2026-05-25,카페라떼,음료,5000,11,177
2026-04-20,콜롬비아원두,원두,18000,170,189
2026-05-10,카페라떼,음료,5000,166,174
2026-04-18,아메리카노,음료,4500,126,54
2026-04-03,마들렌,베이커리,2800,163,456
2026-02-09,치아바타,베이커리,4200,112,90
2026-05-14,에코백,굿즈,12000,167,138
2026-05-18,에티오피아원두,원두,21000,199,247
2026-04-22,치아바타,베이커리,4200,188,303
2026-03-24,크루아상,베이커리,3800,63,425
2026-03-13,카페라떼,음료,5000,116,124
2026-05-26,치아바타,베이커리,4200,157,
2026-03-28,마들렌,베이커리,2800,8,253
2026-02-16,스콘,베이커리,3500,125,108
2026-03-08,스콘,베이커리,3500,88,143
2026-06-29,에티오피아원두,원두,21000,71,284
2026-05-13,아메리카노,음료,4500,49,43
2026-04-15,바닐라라떼,음료,5500,126,284
2026-06-26,바닐라라떼,음료,5500,122,330
2026-05-06,에코백,굿즈,12000,115,405
2026-01-24,아메리카노,음료,4500,76,113
2026-06-27,마들렌,베이커리,2800,63,156
2026-05-29,텀블러,굿즈,15000,95,242
2026-05-16,콜롬비아원두,원두,18000,89,217
2026-05-21,에코백,,12000,85,180
2026-04-27,에코백,굿즈,12000,70,156
2026-03-01,크루아상,베이커리,3800,31,369
2026-03-22,바닐라라떼,음료,5500,31,380
2026-06-26,콜롬비아원두,원두,18000,48,98
2026-05-04,바닐라라떼,음료,5500,71,370
2026-05-15,에티오피아원두,원두,21000,153,144
2026-02-19,카페라떼,음료,9999999,76,116
2026-02-15,스콘,베이커리,3500,78,7
2026-05-17,에코백,굿즈,12000,33,140
2026-01-14,아메리카노,음료,4500,142,149
2026-02-02,에코백,굿즈,12000,164,444
2026-01-27,치아바타,베이커리,4200,4,293
